"pctile","GEI","EPAplay","pass_success","rush_success","early_down_success","early_down_EPA","late_down_success","success","yardsplay","dropbacks","rushes","EPAdropback","EPArush","yardsdropback","pass_explosive","rush_explosive","explosive","third_down_success","red_zone_success","play_stuffed","nonExplosiveEpaPerPlay","havoc","yardsrush","lineyards","opportunity_run","third_down_distance"
0.12,2.2642778968577,-0.252980113290627,0.121779828609097,0.117249809014515,0.310712643678161,-0.268078667574968,0.272727272727273,0.328236940298507,4.26865671641791,22,24,-0.406192736605765,-0.318691977409182,3.71372549019608,0.015625,0.0125,0.0489724110355858,0.25,0.2,0.227548906789413,-0.534545328190239,0.0852106537530266,3.18276094276094,0.935227390180879,0.139057665260197,5.4
0.13,2.35817748940027,-0.240303982289023,0.125,0.119862686567164,0.314564270152505,-0.256080462073997,0.277777777777778,0.328947368421053,4.34755942028985,23,25,-0.382570123681586,-0.300690329581886,3.7758380952381,0.016332628239027,0.012987012987013,0.05,0.25,0.209157894736842,0.230769230769231,-0.526516408988718,0.0869565217391304,3.20569696969697,0.974116666666667,0.142857142857143,5.45454545454545
0.14,2.38026073018681,-0.227946333718339,0.127079365079365,0.123287671232877,0.318239845261122,-0.238829651502588,0.285714285714286,0.333333333333333,4.42616666666667,23,25,-0.366794769048484,-0.284723974333889,3.88906906906907,0.0169491525423729,0.0133333333333333,0.0513085764809903,0.266666666666667,0.221545893719807,0.236154970760234,-0.517744560411947,0.0895522388059701,3.27777777777778,1.00188571428571,0.148178178178178,5.52673684210526
0.15,2.4368504866827,-0.210891200124616,0.130434782608696,0.126984126984127,0.321428571428571,-0.227067716913903,0.294117647058824,0.338235294117647,4.48974955277281,24,25,-0.35496151688162,-0.278228267320759,4,0.0175438596491228,0.0135135135135135,0.0526315789473684,0.268787878787879,0.226515151515152,0.239633802816901,-0.505571008534301,0.0909090909090909,3.30653846153846,1.01822932330827,0.153846153846154,5.565625
0.16,2.4937846227594,-0.201191724588554,0.132980392156863,0.128571428571429,0.326370896184561,-0.221540973039646,0.297882352941177,0.340998328158586,4.52260515603799,24,26,-0.334766513318407,-0.267248898315444,4.10320705760249,0.0185185185185185,0.0138888888888889,0.0538803088803089,0.272727272727273,0.235294117647059,0.241935483870968,-0.49423289907106,0.0930232558139535,3.38488294314381,1.03604837209302,0.156490963855422,5.6
0.17,2.5962635966383,-0.192636822262302,0.135561154374714,0.132298761609907,0.327586206896552,-0.214398292867395,0.307458193979933,0.343717350746269,4.57563428728674,25,26,-0.324167482254207,-0.253417407041333,4.18897931034483,0.0208035714285714,0.0140845070422535,0.0547945205479452,0.285714285714286,0.25,0.244186046511628,-0.49056467603945,0.0940919117647059,3.41940476190476,1.05490243902439,0.157853341218214,5.68604166666667
0.18,2.67129683511863,-0.176036332247281,0.140884795955218,0.134505849132715,0.333333333333333,-0.209410800643722,0.307692307692308,0.347222222222222,4.62439215686275,25,26,-0.306968003348167,-0.238651209603346,4.25995698924731,0.0233160054719562,0.0142857142857143,0.0563380281690141,0.285714285714286,0.25,0.247058823529412,-0.479186138129855,0.0953816046966732,3.48294117647059,1.07419373219373,0.159656468062265,5.75
0.19,2.74858113271388,-0.172400951065945,0.142857142857143,0.136986301369863,0.333333333333333,-0.20437727760294,0.3125,0.349206349206349,4.68218614718615,25,27,-0.295133727526752,-0.230735890828244,4.38381342062193,0.024390243902439,0.0146014492753623,0.0571428571428571,0.294117647058824,0.25,0.25,-0.47331720727278,0.0972222222222222,3.54677489177489,1.088,0.1625,5.76923076923077
0.2,2.84909397027921,-0.166832314068693,0.146424242424242,0.140350877192982,0.338983050847458,-0.192218946509432,0.315789473684211,0.352112676056338,4.73813765182186,26,27,-0.278095008732888,-0.22128618758098,4.44936170212766,0.025253164556962,0.0148814749780509,0.0579710144927536,0.306153846153846,0.25,0.253333333333333,-0.466726086664394,0.0997530864197531,3.57760683760684,1.11415584415584,0.168398268398268,5.8125
0.21,2.94629939592832,-0.161576713273677,0.15,0.142857142857143,0.340425531914894,-0.184385857911471,0.333333333333333,0.355953099605294,4.79057285873192,26,28,-0.257126508733109,-0.211828298961382,4.51574440052701,0.0263157894736842,0.0151515151515152,0.0588235294117647,0.307692307692308,0.266666666666667,0.256791505791506,-0.460852690324319,0.102941176470588,3.63133458646617,1.13258260869565,0.171875,5.85714285714286
0.22,2.99610227932401,-0.156565746263635,0.151660912926736,0.144736842105263,0.34375,-0.170388633916464,0.333333333333333,0.358208955223881,4.82725490196078,26,28,-0.247461132099398,-0.202842927575619,4.64154545454545,0.0266666666666667,0.0153846153846154,0.059591329068941,0.3125,0.272727272727273,0.258064516129032,-0.454026066137118,0.105263157894737,3.6869010989011,1.14925714285714,0.175830753353973,5.90345454545455
