type,region,viewer_index,cycle,target_label,target_url,game_id,request_start_ms,request_started_at,request_started_at_offset_ms,status,ttfb_ms,total_ms,body_bytes,body_hash_short,cf_cache_status,cf_ray,age,cache_control,server,server_timing,x_worker_cache,x_arch,x_replay_play_index,x_upstream_cache,content_encoding
request,us-west-1,5,23,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778433844541,2026-05-10 17:24:04.541000+00:00,724146,200,329.42,330.05,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-1,4,23,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433845135,2026-05-10 17:24:05.135000+00:00,724740,200,178.94,247.7,2399349,4a5c34664791,,9f9aa2ac1f27227e-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=10, percentiles;dur=4, render;dur=0, total;dur=14, cfEdge;dur=10,cfOrigin;dur=0,cfWorker;dur=132",,tiered,,HIT,br
request,us-west-1,8,24,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778433848192,2026-05-10 17:24:08.192000+00:00,727797,200,351.93,352.59,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-1,12,23,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433849514,2026-05-10 17:24:09.514000+00:00,729119,200,50.87,91.91,2336062,08f5771ad3f9,HIT,9f9aa2c7883564b6-SJC,20,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=5, cfCacheStatus;desc=""HIT"", cfEdge;dur=10,cfOrigin;dur=0,cfWorker;dur=4",HIT,baseline,,,br
request,us-west-1,16,24,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433852469,2026-05-10 17:24:12.469000+00:00,732074,200,333.0,516.31,2478604,4a5c34664791,,9f9aa2d9e92164b6-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=182, percentiles;dur=24, render;dur=0, total;dur=206, cfEdge;dur=5,cfOrigin;dur=0,cfWorker;dur=300",,tiered,,EXPIRED,br
request,us-west-1,9,24,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433854859,2026-05-10 17:24:14.859000+00:00,734464,200,35.3,163.77,2336062,08f5771ad3f9,HIT,9f9aa2e8d99764b6-SJC,25,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=4, cfCacheStatus;desc=""HIT"", cfEdge;dur=6,cfOrigin;dur=0,cfWorker;dur=3",HIT,baseline,,,br
request,us-west-1,11,24,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778433856502,2026-05-10 17:24:16.502000+00:00,736107,200,321.76,322.36,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-1,15,24,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433858180,2026-05-10 17:24:18.180000+00:00,737785,200,37.78,162.87,2336062,08f5771ad3f9,HIT,9f9aa2fd999a64b6-SJC,28,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=5, cfCacheStatus;desc=""HIT"", cfEdge;dur=6,cfOrigin;dur=0,cfWorker;dur=5",HIT,baseline,,,br
request,us-west-1,10,24,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433859144,2026-05-10 17:24:19.144000+00:00,738749,200,129.46,257.99,2478604,4a5c34664791,,9f9aa303af9f64b6-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=13, percentiles;dur=5, render;dur=0, total;dur=18, cfEdge;dur=5,cfOrigin;dur=0,cfWorker;dur=96",,tiered,,HIT,br
request,us-west-1,14,24,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778433860608,2026-05-10 17:24:20.608000+00:00,740213,200,404.79,405.44,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
